Date,Price,size,collab,retail price
2018-12-14 00:00:00+00:00,238,10.5,1,170
2018-12-14 00:00:00+00:00,322,8.0,1,170
2018-12-14 00:00:00+00:00,227,11.0,1,170
2018-12-14 00:00:00+00:00,290,9.5,1,170
2018-12-14 00:00:00+00:00,257,10.0,1,170
2018-12-14 00:00:00+00:00,313,9.0,1,170
2018-12-14 00:00:00+00:00,324,8.5,1,170
2019-01-04 20:17:08+00:00,258,11.0,1,170
2019-01-07 07:15:47+00:00,276,10.5,1,170
2019-01-14 06:54:54+00:00,306,10.0,1,170
2019-01-21 14:48:30+00:00,355,9.5,1,170
2019-01-26 16:34:16+00:00,258,11.0,1,170
2019-01-28 02:55:36+00:00,395,9.0,1,170
2019-01-31 14:31:34+00:00,276,10.5,1,170
2019-02-14 13:49:48+00:00,323,10.0,1,170
2019-02-15 19:51:43+00:00,430,8.5,1,170
2019-02-17 12:51:24+00:00,266,11.0,1,170
2019-02-18 00:51:25+00:00,410,8.0,1,170
2019-02-24 21:47:21+00:00,293,10.5,1,170
2019-03-01 05:37:00+00:00,377,9.5,1,170
2019-03-11 09:08:32+00:00,287,11.0,1,170
2019-03-14 05:51:12+00:00,431,9.0,1,170
2019-03-17 20:44:42+00:00,337,10.0,1,170
2019-03-21 05:03:08+00:00,303,10.5,1,170
2019-04-02 05:25:40+00:00,293,11.0,1,170
2019-04-08 20:25:30+00:00,379,9.5,1,170
2019-04-14 12:18:55+00:00,318,10.5,1,170
2019-04-18 03:39:36+00:00,334,10.0,1,170
2019-04-20 15:43:26+00:00,430,8.5,1,170
2019-04-24 01:42:48+00:00,293,11.0,1,170
2019-04-25 01:42:50+00:00,430,8.0,1,170
2019-04-28 08:46:48+00:00,417,9.0,1,170
2019-05-08 19:34:42+00:00,315,10.5,1,170
2019-05-15 21:59:56+00:00,292,11.0,1,170
2019-05-17 11:14:00+00:00,394,9.5,1,170
2019-05-19 10:34:30+00:00,337,10.0,1,170
2019-06-02 02:50:29+00:00,316,10.5,1,170
2019-06-06 18:17:04+00:00,295,11.0,1,170
2019-06-12 11:42:24+00:00,455,9.0,1,170
2019-06-19 17:29:24+00:00,382,10.0,1,170
2019-06-23 11:35:09+00:00,522,8.5,1,170
2019-06-25 02:02:30+00:00,429,9.5,1,170
2019-06-26 10:06:16+00:00,343,10.5,1,170
2019-06-28 14:34:12+00:00,312,11.0,1,170
2019-06-30 02:34:15+00:00,528,8.0,1,170
2019-07-20 10:51:20+00:00,317,11.0,1,170
2019-07-20 17:22:03+00:00,335,10.5,1,170
2019-07-21 00:24:18+00:00,390,10.0,1,170
2019-07-27 14:38:00+00:00,556,9.0,1,170
2019-08-02 16:51:00+00:00,510,9.5,1,170
2019-08-11 07:08:28+00:00,327,11.0,1,170
2019-08-14 00:37:50+00:00,365,10.5,1,170
2019-08-21 07:19:12+00:00,438,10.0,1,170
2019-08-26 07:26:52+00:00,566,8.5,1,170
2019-09-02 03:25:36+00:00,338,11.0,1,170
2019-09-04 03:25:40+00:00,573,8.0,1,170
2019-09-07 07:53:37+00:00,361,10.5,1,170
2019-09-10 07:39:30+00:00,485,9.5,1,170
2019-09-10 17:33:36+00:00,557,9.0,1,170
2019-09-21 14:14:06+00:00,411,10.0,1,170
2019-09-23 23:42:44+00:00,336,11.0,1,170
2019-10-01 15:09:24+00:00,347,10.5,1,170
2019-10-15 19:59:52+00:00,315,11.0,1,170
2019-10-18 22:28:00+00:00,450,9.5,1,170
2019-10-22 21:09:00+00:00,415,10.0,1,170
2019-10-25 20:29:12+00:00,509,9.0,1,170
2019-10-25 22:25:11+00:00,353,10.5,1,170
2019-10-29 03:18:35+00:00,495,8.5,1,170
2019-11-06 16:17:00+00:00,337,11.0,1,170
2019-11-09 04:17:05+00:00,514,8.0,1,170
2019-11-19 05:40:58+00:00,354,10.5,1,170
2019-11-23 04:03:54+00:00,415,10.0,1,170
2019-11-26 13:16:30+00:00,458,9.5,1,170
2019-11-28 12:34:08+00:00,362,11.0,1,170
2019-12-09 23:24:48+00:00,471,9.0,1,170
2019-12-13 12:56:45+00:00,365,10.5,1,170
2019-12-20 08:51:16+00:00,364,11.0,1,170
2019-12-24 10:58:48+00:00,394,10.0,1,170
2019-12-31 23:10:18+00:00,503,8.5,1,170
2020-01-04 04:05:00+00:00,451,9.5,1,170
2020-01-06 20:12:32+00:00,358,10.5,1,170
2020-01-11 05:08:24+00:00,348,11.0,1,170
2020-01-14 05:08:30+00:00,493,8.0,1,170
2020-01-24 02:20:24+00:00,469,9.0,1,170
2020-01-24 17:53:42+00:00,409,10.0,1,170
2020-01-31 03:28:19+00:00,358,10.5,1,170
2020-02-02 01:25:32+00:00,361,11.0,1,170
2020-02-11 18:53:30+00:00,443,9.5,1,170
2020-02-23 21:42:40+00:00,379,11.0,1,170
2020-02-24 10:44:06+00:00,382,10.5,1,170
2020-02-25 00:48:36+00:00,412,10.0,1,170
2020-03-04 19:02:01+00:00,489,8.5,1,170
2020-03-09 05:16:00+00:00,476,9.0,1,170
2020-03-16 17:59:48+00:00,380,11.0,1,170
2020-03-19 17:59:53+00:00,389,10.5,1,170
2020-03-20 05:59:55+00:00,520,8.0,1,170
2020-03-21 09:42:00+00:00,464,9.5,1,170
2020-03-27 07:43:30+00:00,432,10.0,1,170
2020-04-07 14:16:56+00:00,406,11.0,1,170
2020-04-13 01:15:40+00:00,416,10.5,1,170
2020-04-23 08:11:36+00:00,574,9.0,1,170
2020-04-27 14:38:24+00:00,507,10.0,1,170
2020-04-29 00:30:30+00:00,557,9.5,1,170
2020-04-29 10:34:04+00:00,438,11.0,1,170
2020-05-07 08:31:27+00:00,480,10.5,1,170
2020-05-07 14:53:44+00:00,596,8.5,1,170
2020-05-21 06:51:12+00:00,503,11.0,1,170
2020-05-25 06:51:20+00:00,597,8.0,1,170
2020-05-28 21:33:18+00:00,565,10.0,1,170
2020-05-31 15:47:14+00:00,555,10.5,1,170
2020-06-06 15:19:00+00:00,628,9.5,1,170
2020-06-07 11:07:12+00:00,646,9.0,1,170
2020-06-12 03:08:20+00:00,528,11.0,1,170
2020-06-24 23:03:01+00:00,569,10.5,1,170
2020-06-29 04:28:12+00:00,643,10.0,1,170
2020-07-03 23:25:28+00:00,537,11.0,1,170
2020-07-10 10:45:27+00:00,656,8.5,1,170
2020-07-15 06:07:30+00:00,640,9.5,1,170
2020-07-19 06:18:48+00:00,609,10.5,1,170
2020-07-22 14:02:48+00:00,717,9.0,1,170
2020-07-25 19:42:36+00:00,567,11.0,1,170
2020-07-30 07:42:45+00:00,640,8.0,1,170
2020-07-30 11:23:06+00:00,616,10.0,1,170
2020-08-12 13:34:35+00:00,615,10.5,1,170
2020-08-16 15:59:44+00:00,573,11.0,1,170
2020-08-22 20:56:00+00:00,661,9.5,1,170
2020-08-30 18:18:00+00:00,617,10.0,1,170
2020-09-05 16:58:24+00:00,698,9.0,1,170
2020-09-05 20:50:22+00:00,591,10.5,1,170
2020-09-07 12:16:52+00:00,583,11.0,1,170
2020-09-12 06:37:10+00:00,625,8.5,1,170
2020-09-29 08:34:00+00:00,578,11.0,1,170
2020-09-30 04:06:09+00:00,592,10.5,1,170
2020-09-30 11:44:30+00:00,620,9.5,1,170
2020-10-01 01:12:54+00:00,592,10.0,1,170
2020-10-04 08:34:10+00:00,637,8.0,1,170
2020-10-20 19:54:00+00:00,697,9.0,1,170
2020-10-21 04:51:08+00:00,569,11.0,1,170
2020-10-24 11:21:56+00:00,590,10.5,1,170
2020-11-01 08:07:48+00:00,595,10.0,1,170
2020-11-08 02:33:00+00:00,678,9.5,1,170
2020-11-12 01:08:16+00:00,606,11.0,1,170
2020-11-15 02:28:53+00:00,674,8.5,1,170
2020-11-17 18:37:43+00:00,635,10.5,1,170
2020-12-02 15:02:42+00:00,651,10.0,1,170
2020-12-03 21:25:24+00:00,642,11.0,1,170
2020-12-04 22:49:36+00:00,705,9.0,1,170
2020-12-09 09:25:35+00:00,676,8.0,1,170
2020-12-12 01:53:30+00:00,619,10.5,1,170
2020-12-16 17:21:30+00:00,718,9.5,1,170
2020-12-25 17:42:32+00:00,628,11.0,1,170
2021-01-02 21:57:36+00:00,681,10.0,1,170
2021-01-05 09:09:17+00:00,635,10.5,1,170
2021-01-16 13:59:40+00:00,621,11.0,1,170
2021-01-17 22:20:36+00:00,664,8.5,1,170
2021-01-19 01:45:12+00:00,801,9.0,1,170
2021-01-24 08:10:00+00:00,729,9.5,1,170
2021-01-29 16:25:04+00:00,652,10.5,1,170
2021-02-03 04:52:30+00:00,688,10.0,1,170
2021-02-07 10:16:48+00:00,632,11.0,1,170
2021-02-13 10:17:00+00:00,737,8.0,1,170
2021-02-22 23:40:51+00:00,670,10.5,1,170
2021-03-01 06:33:56+00:00,657,11.0,1,170
2021-03-03 22:58:30+00:00,854,9.5,1,170
2021-03-05 04:40:48+00:00,815,9.0,1,170
2021-03-06 11:47:24+00:00,721,10.0,1,170
2021-03-19 06:56:38+00:00,698,10.5,1,170
2021-03-22 18:12:19+00:00,720,8.5,1,170
2021-03-23 02:51:04+00:00,687,11.0,1,170
2021-04-06 18:42:18+00:00,691,10.0,1,170
2021-04-11 13:47:00+00:00,775,9.5,1,170
2021-04-12 14:12:25+00:00,689,10.5,1,170
2021-04-13 23:08:12+00:00,678,11.0,1,170
2021-04-19 07:36:24+00:00,804,9.0,1,170
2021-04-20 11:08:25+00:00,719,8.0,1,170
2021-05-05 19:25:20+00:00,711,11.0,1,170
2021-05-06 21:28:12+00:00,727,10.5,1,170
2021-05-08 01:37:12+00:00,727,10.0,1,170
2021-05-20 04:35:30+00:00,809,9.5,1,170
2021-05-25 14:04:02+00:00,723,8.5,1,170
2021-05-27 15:42:28+00:00,688,11.0,1,170
2021-05-31 04:43:59+00:00,753,10.5,1,170
2021-06-03 10:32:00+00:00,767,9.0,1,170
2021-06-08 08:32:06+00:00,742,10.0,1,170
2021-06-18 11:59:36+00:00,660,11.0,1,170
2021-06-24 11:59:46+00:00,681,10.5,1,170
2021-06-25 11:59:50+00:00,705,8.0,1,170
2021-06-27 19:24:00+00:00,743,9.5,1,170
2021-07-09 15:27:00+00:00,736,10.0,1,170
2021-07-10 08:16:44+00:00,701,11.0,1,170
2021-07-18 13:27:36+00:00,724,9.0,1,170
2021-07-18 19:15:33+00:00,709,10.5,1,170
2021-07-28 09:55:45+00:00,729,8.5,1,170
2021-08-01 04:33:52+00:00,689,11.0,1,170
2021-08-05 10:12:30+00:00,737,9.5,1,170
2021-08-09 22:21:54+00:00,781,10.0,1,170
2021-08-12 02:31:20+00:00,753,10.5,1,170
2021-08-23 00:51:00+00:00,646,11.0,1,170
2021-08-30 12:51:15+00:00,734,8.0,1,170
2021-09-01 16:23:12+00:00,780,9.0,1,170
2021-09-05 09:47:07+00:00,691,10.5,1,170
2021-09-10 05:16:48+00:00,745,10.0,1,170
2021-09-13 01:01:00+00:00,727,9.5,1,170
2021-09-13 21:08:08+00:00,698,11.0,1,170
2021-09-29 17:02:54+00:00,723,10.5,1,170
2021-09-30 05:47:28+00:00,741,8.5,1,170
2021-10-05 17:25:16+00:00,686,11.0,1,170
2021-10-11 12:11:42+00:00,714,10.0,1,170
2021-10-16 19:18:48+00:00,843,9.0,1,170
2021-10-21 15:49:30+00:00,786,9.5,1,170
2021-10-24 00:18:41+00:00,714,10.5,1,170
2021-10-27 13:42:24+00:00,669,11.0,1,170
2021-11-04 13:42:40+00:00,738,8.0,1,170
2021-11-11 19:06:36+00:00,717,10.0,1,170
2021-11-17 07:34:28+00:00,706,10.5,1,170
2021-11-18 09:59:32+00:00,703,11.0,1,170
2021-11-29 06:38:00+00:00,835,9.5,1,170
2021-11-30 22:14:24+00:00,859,9.0,1,170
2021-12-03 01:39:11+00:00,790,8.5,1,170
2021-12-10 06:16:40+00:00,749,11.0,1,170
2021-12-11 14:50:15+00:00,789,10.5,1,170
2021-12-13 02:01:30+00:00,801,10.0,1,170
2022-01-01 02:33:48+00:00,891,11.0,1,170
2022-01-04 22:06:02+00:00,801,10.5,1,170
2022-01-06 21:26:30+00:00,910,9.5,1,170
2022-01-09 14:34:05+00:00,795,8.0,1,170
2022-01-13 08:56:24+00:00,862,10.0,1,170
2022-01-15 01:10:00+00:00,837,9.0,1,170
2022-01-22 22:50:56+00:00,807,11.0,1,170
2022-01-29 05:21:49+00:00,796,10.5,1,170
2022-02-04 21:30:54+00:00,808,8.5,1,170
2022-02-13 15:51:18+00:00,919,10.0,1,170
2022-02-13 19:08:04+00:00,799,11.0,1,170
2022-02-14 12:15:00+00:00,885,9.5,1,170
2022-02-22 12:37:36+00:00,756,10.5,1,170
2022-03-01 04:05:36+00:00,884,9.0,1,170
2022-03-07 15:25:12+00:00,745,11.0,1,170
2022-03-16 15:25:30+00:00,731,8.0,1,170
2022-03-16 22:46:12+00:00,809,10.0,1,170
2022-03-18 19:53:23+00:00,783,10.5,1,170
2022-03-25 03:03:30+00:00,869,9.5,1,170
2022-03-29 11:42:20+00:00,759,11.0,1,170
2022-04-09 17:22:37+00:00,862,8.5,1,170
2022-04-12 03:09:10+00:00,737,10.5,1,170
2022-04-15 07:01:12+00:00,842,9.0,1,170
2022-04-17 05:41:06+00:00,902,10.0,1,170
2022-04-20 07:59:28+00:00,773,11.0,1,170
2022-05-02 17:52:00+00:00,752,9.5,1,170
2022-05-06 10:24:57+00:00,743,10.5,1,170
2022-05-12 04:16:36+00:00,711,11.0,1,170
2022-05-18 12:36:00+00:00,745,10.0,1,170
2022-05-21 16:16:55+00:00,687,8.0,1,170
2022-05-30 09:56:48+00:00,782,9.0,1,170
2022-05-30 17:40:44+00:00,713,10.5,1,170
2022-06-03 00:33:44+00:00,741,11.0,1,170
2022-06-10 08:40:30+00:00,739,9.5,1,170
2022-06-12 13:14:20+00:00,832,8.5,1,170
2022-06-18 19:30:54+00:00,710,10.0,1,170
2022-06-24 00:56:31+00:00,640,10.5,1,170
2022-06-24 20:50:52+00:00,627,11.0,1,170
2022-07-14 12:52:24+00:00,722,9.0,1,170
2022-07-16 17:08:00+00:00,646,11.0,1,170
2022-07-18 08:12:18+00:00,680,10.5,1,170
2022-07-18 23:29:00+00:00,789,9.5,1,170
2022-07-20 02:25:48+00:00,715,10.0,1,170
2022-07-26 17:08:20+00:00,677,8.0,1,170
2022-08-07 13:25:08+00:00,644,11.0,1,170
2022-08-11 15:28:05+00:00,656,10.5,1,170
2022-08-15 09:06:03+00:00,737,8.5,1,170
2022-08-20 09:20:42+00:00,742,10.0,1,170
2022-08-26 14:17:30+00:00,768,9.5,1,170
2022-08-28 15:48:00+00:00,783,9.0,1,170
2022-08-29 09:42:16+00:00,594,11.0,1,170
2022-09-04 22:43:52+00:00,623,10.5,1,170
2022-09-20 05:59:24+00:00,662,11.0,1,170
2022-09-20 16:15:36+00:00,648,10.0,1,170
2022-09-29 05:59:39+00:00,647,10.5,1,170
2022-09-30 17:59:45+00:00,662,8.0,1,170
2022-10-04 05:06:00+00:00,767,9.5,1,170
2022-10-12 02:16:32+00:00,619,11.0,1,170
2022-10-12 18:43:36+00:00,714,9.0,1,170
2022-10-18 04:57:46+00:00,699,8.5,1,170
2022-10-21 23:10:30+00:00,742,10.0,1,170
2022-10-23 13:15:26+00:00,607,10.5,1,170
2022-11-02 22:33:40+00:00,684,11.0,1,170
2022-11-11 19:54:30+00:00,712,9.5,1,170
2022-11-16 20:31:13+00:00,663,10.5,1,170
2022-11-22 06:05:24+00:00,683,10.0,1,170
2022-11-24 18:50:48+00:00,700,11.0,1,170
2022-11-26 21:39:12+00:00,755,9.0,1,170
2022-12-05 18:51:10+00:00,632,8.0,1,170
2022-12-11 03:47:00+00:00,619,10.5,1,170
2022-12-16 15:07:56+00:00,669,11.0,1,170
2022-12-20 10:43:00+00:00,701,9.5,1,170
2022-12-21 00:49:29+00:00,659,8.5,1,170
2022-12-23 13:00:18+00:00,725,10.0,1,170
2023-01-04 11:02:47+00:00,618,10.5,1,170
2023-01-07 11:25:04+00:00,714,11.0,1,170
2023-01-11 00:34:48+00:00,628,9.0,1,170
2023-01-23 19:55:12+00:00,675,10.0,1,170
2023-01-28 01:31:30+00:00,789,9.5,1,170
2023-01-28 18:18:34+00:00,587,10.5,1,170
2023-01-29 07:42:12+00:00,632,11.0,1,170
2023-02-09 19:42:35+00:00,706,8.0,1,170
2023-02-20 03:59:20+00:00,603,11.0,1,170
2023-02-22 01:34:21+00:00,609,10.5,1,170
2023-02-22 20:41:12+00:00,725,8.5,1,170
2023-02-24 02:50:06+00:00,613,10.0,1,170
2023-02-25 03:30:24+00:00,767,9.0,1,170
2023-03-07 16:20:00+00:00,731,9.5,1,170
2023-03-14 00:16:28+00:00,601,11.0,1,170
2023-03-18 08:50:08+00:00,612,10.5,1,170
2023-03-27 09:45:00+00:00,675,10.0,1,170
2023-04-04 20:33:36+00:00,570,11.0,1,170
2023-04-11 06:26:00+00:00,773,9.0,1,170
2023-04-11 16:05:55+00:00,668,10.5,1,170
2023-04-15 07:08:30+00:00,704,9.5,1,170
2023-04-16 20:34:00+00:00,727,8.0,1,170
2023-04-26 16:50:44+00:00,622,11.0,1,170
2023-04-27 16:32:55+00:00,779,8.5,1,170
2023-04-27 16:39:54+00:00,720,10.0,1,170
2023-05-05 23:21:42+00:00,664,10.5,1,170
2023-05-18 13:07:52+00:00,712,11.0,1,170
2023-05-23 21:57:00+00:00,789,9.5,1,170
2023-05-26 09:21:36+00:00,857,9.0,1,170
2023-05-28 23:34:48+00:00,695,10.0,1,170
2023-05-30 06:37:29+00:00,640,10.5,1,170
2023-06-09 09:25:00+00:00,724,11.0,1,170
2023-06-21 21:25:25+00:00,798,8.0,1,170
2023-06-23 13:53:16+00:00,682,10.5,1,170
2023-06-29 06:29:42+00:00,724,10.0,1,170
2023-06-30 12:24:38+00:00,690,8.5,1,170
2023-07-01 05:42:08+00:00,706,11.0,1,170
2023-07-01 12:45:30+00:00,750,9.5,1,170
2023-07-10 12:17:12+00:00,701,9.0,1,170
2023-07-17 21:09:03+00:00,689,10.5,1,170
2023-07-23 01:59:16+00:00,626,11.0,1,170
2023-07-30 13:24:36+00:00,697,10.0,1,170
2023-08-09 03:34:00+00:00,640,9.5,1,170
2023-08-11 04:24:50+00:00,639,10.5,1,170
2023-08-13 22:16:24+00:00,637,11.0,1,170
2023-08-24 15:12:48+00:00,735,9.0,1,170
2023-08-26 22:16:50+00:00,764,8.0,1,170
2023-08-30 20:19:30+00:00,632,10.0,1,170
2023-09-02 08:16:21+00:00,742,8.5,1,170
2023-09-04 11:40:37+00:00,561,10.5,1,170
2023-09-04 18:33:32+00:00,674,11.0,1,170
2023-09-16 18:22:30+00:00,633,9.5,1,170
2023-09-26 14:50:40+00:00,564,11.0,1,170
2023-09-28 18:56:24+00:00,562,10.5,1,170
2023-10-01 03:14:24+00:00,633,10.0,1,170
2023-10-08 18:08:24+00:00,782,9.0,1,170
2023-10-18 11:07:48+00:00,602,11.0,1,170
2023-10-23 02:12:11+00:00,581,10.5,1,170
2023-10-25 09:11:00+00:00,627,9.5,1,170
2023-10-31 23:08:15+00:00,778,8.0,1,170
2023-11-01 10:09:18+00:00,588,10.0,1,170
2023-11-05 04:08:04+00:00,643,8.5,1,170
2023-11-09 07:24:56+00:00,687,11.0,1,170
2023-11-16 09:27:58+00:00,529,10.5,1,170
2023-11-22 21:04:00+00:00,863,9.0,1,170
2023-12-01 03:42:04+00:00,607,11.0,1,170
2023-12-02 17:04:12+00:00,606,10.0,1,170
2023-12-10 16:43:45+00:00,682,10.5,1,170
